evtID,trkID,segnum,PID,pdgID,X,Y,Z,TX,TY,E
100803,212365,3,18,11,-16689.281,28491.738,214187.5,0.0021789332,-0.008663058,2.0292842
100803,212365,3,19,11,-16686.75,28481.951,215614.5,0.006414291,-0.002468116,2.0292842
100803,212375,7,17,-11,-16683.137,28509.768,212760.5,0.00998733,-0.0080170585,1.4772574
100803,212375,7,18,-11,-16668.867,28503.188,214187.5,0.010203964,-0.0024193157,1.4772574
100803,212375,7,19,-11,-16661.52,28496.01,215614.5,0.0020126703,-0.011704656,1.4772574
100803,212375,7,20,-11,-16663.807,28487.385,217041.48,-0.0016433323,-0.0019520186,1.4772574
100803,212375,7,21,-11,-16662.06,28479.479,218468.48,0.005561761,-0.0049495,1.4772574
100803,212375,7,22,-11,-16653.418,28473.438,219895.5,0.0035380295,-0.003164017,1.4772574
100803,212375,7,23,-11,-16646.725,28474.258,221322.5,-0.00074561394,0.0007107171,1.4772574
100803,212502,3,17,-11,-16740.697,28523.973,212760.5,-0.018615698,0.0064314683,6.983419
100803,212502,3,18,11,-16754.84,28541.578,214187.5,-0.0027973242,0.010744118,1.4004562
100803,212502,3,19,11,-16750.697,28557.438,215614.5,0.0026557178,0.0119833145,1.4004562
100826,218743,3,17,-11,-14990.839,25161.395,212760.5,-0.010918888,-0.008162323,0.86166173
100826,218743,3,18,-11,-15014.993,25139.701,214187.5,-0.025238324,-0.023530291,0.86166173
100826,218743,3,19,-11,-15055.848,25109.33,215614.5,-0.034627844,-0.020089535,0.86166173
100852,225503,3,17,11,-8015.5464,26535.781,212760.5,-0.0061260005,0.0127561595,1.4300408
100852,225503,3,18,11,-8028.435,26565.266,214187.5,-0.010265551,0.02874208,1.4300408
100852,225503,3,19,11,-8036.8276,26606.352,215614.5,-0.004314912,0.026642868,1.4300408
100857,195477,6,13,-11,-15283.857,20446.674,207052.48,0.012165072,-0.01522377,0.40580112
100857,195477,6,14,11,-15275.648,20433.71,208479.5,-0.00029285357,-0.0021310265,5.2119994
100857,195477,6,15,11,-15273.061,20430.586,209906.5,0.0029577196,-0.0024571307,5.2119994
100857,195477,6,16,11,-15269.919,20422.969,211333.5,-6.0061942e-05,-0.005935086,5.2119994
100857,195477,6,17,11,-15266.226,20410.793,212760.5,0.0082952045,-0.0065405313,5.2119994
100857,195477,6,18,11,-15252.508,20404.56,214187.5,0.012717798,-0.005404154,5.2119994
100857,226981,3,17,-11,-15318.901,20466.326,212760.5,-0.017248131,0.012890035,0.55204207
